행정구역,2022년10월_남_총인구수,2022년10월_남_연령구간인구수,2022년10월_남_0~9세,2022년10월_남_10~19세,2022년10월_남_20~29세,2022년10월_남_30~39세,2022년10월_남_40~49세,2022년10월_남_50~59세,2022년10월_남_60~69세,2022년10월_남_70~79세,2022년10월_남_80~89세,2022년10월_남_90~99세,2022년10월_남_100세 이상,2022년10월_여_총인구수,2022년10월_여_연령구간인구수,2022년10월_여_0~9세,2022년10월_여_10~19세,2022년10월_여_20~29세,2022년10월_여_30~39세,2022년10월_여_40~49세,2022년10월_여_50~59세,2022년10월_여_60~69세,2022년10월_여_70~79세,2022년10월_여_80~89세,2022년10월_여_90~99세,2022년10월_여_100세 이상
경기도 파주시 금촌2동(4148052000),15695 ,15695 ,1378 ,2127 ,2024 ,2018 ,2669 ,2766 ,1567 ,739 ,382 ,25 ,0 ,16379 ,16379 ,1299 ,1955 ,1908 ,1995 ,2965 ,2665 ,1785 ,1029 ,666 ,111 ,1 
경기도 파주시 금촌3동(4148053000),13609 ,13609 ,984 ,1365 ,1969 ,1803 ,2130 ,2457 ,1706 ,809 ,355 ,31 ,0 ,13097 ,13097 ,968 ,1229 ,1599 ,1594 ,1971 ,2381 ,1737 ,950 ,564 ,102 ,2 
경기도 파주시 교하동(4148054000),32583 ,32583 ,3858 ,3627 ,3711 ,5879 ,5854 ,4947 ,2943 ,1193 ,525 ,46 ,0 ,32043 ,32043 ,3656 ,3431 ,3544 ,5713 ,5736 ,4574 ,2826 ,1496 ,869 ,195 ,3 
경기도 파주시 운정1동(4148055000),25880 ,25880 ,2372 ,3195 ,3240 ,3779 ,4880 ,4186 ,2605 ,1074 ,501 ,48 ,0 ,26737 ,26737 ,2320 ,3171 ,3276 ,3698 ,5036 ,4263 ,2673 ,1377 ,783 ,136 ,4 
경기도 파주시 운정2동(4148056000),30288 ,30288 ,4018 ,4078 ,2990 ,4865 ,6403 ,4186 ,2197 ,1027 ,473 ,48 ,3 ,31909 ,31909 ,3808 ,4048 ,3168 ,5266 ,6353 ,4169 ,2616 ,1545 ,807 ,125 ,4 
경기도 파주시 운정3동(4148057000),42086 ,42086 ,4514 ,5263 ,5016 ,6133 ,8505 ,6643 ,3644 ,1554 ,747 ,65 ,2 ,44358 ,44358 ,4346 ,5061 ,5200 ,6535 ,8761 ,6802 ,4117 ,2182 ,1180 ,168 ,6 
경기도 이천시 (4150000000),116626 ,116626 ,8666 ,12104 ,17584 ,16575 ,18222 ,18642 ,15290 ,6503 ,2786 ,250 ,4 ,107451 ,107451 ,8151 ,11196 ,13064 ,13877 ,16713 ,17191 ,14392 ,7338 ,4740 ,765 ,24 
경기도 이천시 장호원읍(4150025000),7224 ,7224 ,415 ,662 ,830 ,733 ,1008 ,1237 ,1307 ,689 ,315 ,28 ,0 ,7087 ,7087 ,401 ,634 ,634 ,602 ,953 ,1099 ,1332 ,779 ,559 ,91 ,3 
경기도 이천시 부발읍(4150025300),19203 ,19203 ,1402 ,2215 ,3253 ,2687 ,3318 ,3112 ,2042 ,813 ,335 ,26 ,0 ,16854 ,16854 ,1313 ,2088 ,1992 ,2222 ,3158 ,2679 ,1844 ,928 ,553 ,75 ,2 
경기도 이천시 신둔면(4150031000),7429 ,7429 ,490 ,603 ,845 ,974 ,1058 ,1400 ,1303 ,533 ,207 ,16 ,0 ,6775 ,6775 ,480 ,502 ,727 ,784 ,904 ,1323 ,1125 ,544 ,330 ,54 ,2 
